184.80, 41.07, 2.55
184.90, 47.31, 0.35
295.00, 100.77, 0.89
295.10, 91.82, -0.08
295.20, 35.20, 0.45
295.30, 41.85, -0.46
295.40, 31.56, 0.81
295.50, 49.36, -1.56
295.60, 84.46, 2.04
295.70, 45.85, 0.09
295.80, 37.36, 1.65
295.90, 19.29, -1.07
296.00, 68.28, 1.50
296.10, 91.92, -1.20
296.20, 133.23, 2.90
296.30, 78.96, 1.94
296.40, 102.03, 1.51
296.50, 22.44, -1.38
296.60, 152.60, 2.08
296.70, 127.55, 0.70
296.80, 84.95, -0.05
296.90, 131.10, -1.97
297.00, 138.83, 2.41
297.10, 57.20, -2.98
297.20, 182.27, 1.94
297.30, 40.96, -1.48
297.40, 223.73, 2.29
297.50, 75.89, 1.39
297.60, 198.76, 1.73
297.70, 70.30, -0.81
297.80, 283.94, 2.35
297.90, 159.53, 1.07
298.00, 221.40, 1.85
298.10, 194.58, 0.64
298.20, 101.01, 0.89
298.30, 173.96, -1.54
298.40, 405.50, 2.71
298.50, 270.79, 1.72
298.60, 305.63, 1.89
298.70, 185.49, 1.75
298.80, 520.27, 1.96
298.90, 544.85, 1.25
299.00, 561.79, 0.98
299.10, 304.38, 0.40
299.20, 490.24, 1.09
299.30, 319.19, -0.06
299.40, 374.55, 1.42
299.50, 202.94, 2.12
299.60, 1599.12, 1.29
299.70, 1237.04, -0.41
299.80, 2163.59, 1.73
299.90, 5085.83, 0.03
300.00, 4347.72, -1.55
300.10, 1187.46, -2.89
300.20, 811.42, -2.25
300.30, 427.63, 1.43
300.40, 909.84, -1.44
300.50, 385.16, -3.01
300.60, 482.29, -2.28
300.70, 474.34, 2.02
300.80, 201.22, -1.32
300.90, 394.08, 1.67
301.00, 364.74, -0.48
301.10, 154.48, 0.62
301.20, 442.19, -1.04
301.30, 91.34, 2.66
301.40, 349.32, -0.77
301.50, 170.08, -1.67
301.60, 347.27, -1.77
301.70, 280.50, 2.64
301.80, 158.85, -0.22
301.90, 7.22, 2.59
302.00, 207.83, -0.90
302.10, 107.44, -2.63
302.20, 74.40, -0.95
302.30, 34.50, 1.65
302.40, 186.34, -0.54
302.50, 127.95, -1.47
302.60, 120.28, -1.48
302.70, 69.27, -1.33
302.80, 163.83, -1.64
302.90, 67.47, -2.21
303.00, 171.04, -2.04
303.10, 139.42, 2.63
303.20, 21.70, 0.33
303.30, 67.24, 0.71
303.40, 129.55, -1.17
303.50, 22.66, 1.78
303.60, 157.29, -0.94
303.70, 105.42, -2.03
303.80, 110.01, -2.13
303.90, 56.43, 2.49
304.00, 80.98, -1.31
304.10, 46.38, -2.89
304.20, 56.86, -1.87
304.30, 19.58, 2.02
304.40, 104.05, -1.65
304.50, 84.19, 2.88
304.60, 30.40, -2.51
304.70, 72.58, 1.80
304.80, 47.90, -1.10
304.90, 78.44, 1.81
415.00, 42.45, -2.09
415.10, 10.85, 3.13
415.20, 15.74, -0.95
415.30, 19.56, -0.67
415.40, 22.78, -1.68
415.50, 32.23, 0.28
415.60, 67.28, -1.09
415.70, 44.51, -1.84
415.80, 50.35, -2.54
415.90, 36.18, 1.68
416.00, 18.22, -0.90
416.10, 39.13, 1.13
416.20, 60.28, -0.27
416.30, 55.39, -0.48
416.40, 77.19, -1.35
416.50, 18.08, -2.19
416.60, 45.50, -1.17
416.70, 44.74, -1.98
416.80, 54.82, 3.10
416.90, 71.08, 1.05
417.00, 41.01, -0.60
417.10, 49.89, 0.26
417.20, 43.18, -1.52
417.30, 88.72, 0.92
417.40, 113.42, -0.57
417.50, 66.39, -0.43
417.60, 98.05, -1.47
417.70, 75.64, 1.10
417.80, 173.72, -0.67
417.90, 69.49, -1.44
418.00, 105.92, -1.19
418.10, 38.58, -1.73
418.20, 67.27, -1.66
418.30, 96.10, 1.31
418.40, 206.26, -0.31
418.50, 131.25, -0.86
418.60, 168.42, -0.90
418.70, 132.27, -0.74
418.80, 288.97, -0.91
418.90, 324.60, -1.47
419.00, 310.80, -2.00
419.10, 155.29, -2.12
419.20, 246.15, -2.12
419.30, 82.40, -2.55
419.40, 140.80, -1.94
419.50, 323.77, -0.60
419.60, 871.23, -2.02
419.70, 395.60, 2.26
419.80, 1239.94, -1.53
419.90, 2104.79, 3.09
420.00, 1429.48, 1.54
420.10, 303.48, 0.66
420.20, 330.16, 0.33
420.30, 334.88, -2.49
420.40, 382.46, 1.66
420.50, 77.56, 0.91
420.60, 258.58, 0.57
420.70, 199.22, -1.57
420.80, 88.18, 0.79
420.90, 258.05, -1.80
421.00, 149.58, 2.82
421.10, 148.63, -2.70
421.20, 168.64, 2.00
421.30, 86.48, -2.19
421.40, 183.02, 2.26
421.50, 58.51, 1.69
421.60, 142.15, 1.11
421.70, 141.09, -1.09
421.80, 85.00, 3.10
421.90, 57.97, -2.30
422.00, 98.94, 2.39
422.10, 26.62, -1.07
422.20, 60.33, 2.94
422.30, 45.90, -2.17
422.40, 110.49, 3.06
422.50, 84.23, 2.53
422.60, 80.63, 2.11
422.70, 43.55, 1.99
422.80, 35.48, 1.68
422.90, 45.62, 3.04
423.00, 78.55, 1.66
423.10, 33.86, -0.53
423.20, 44.59, -2.41
423.30, 99.19, -3.09
423.40, 97.97, 1.97
423.50, 22.43, 3.06
423.60, 94.35, 2.25
423.70, 63.21, 1.57
423.80, 55.00, 1.27
423.90, 14.16, 1.58
424.00, 45.39, 1.45
424.10, 14.66, 1.39
424.20, 41.86, 0.92
424.30, 27.61, -1.97
424.40, 57.03, 1.85
424.50, 32.37, 0.24
424.60, 17.29, -0.37
424.70, 41.79, -2.55
424.80, 57.91, 1.57
424.90, 47.44, -0.83
55.00, 51.92, -1.98
55.10, 246.18, -0.26
55.20, 72.41, -2.06
55.30, 201.48, -0.08
55.40, 53.97, -0.87
55.50, 200.82, -0.49
55.60, 61.65, 2.68
55.70, 248.56, 0.01
55.80, 26.02, 0.01
55.90, 259.88, -0.13
56.00, 35.65, 0.01
56.10, 276.66, -0.18
56.20, 51.31, 0.19
56.30, 339.06, -0.29
56.40, 53.17, -1.81
56.50, 285.31, -0.09
56.60, 76.39, -0.43
56.70, 290.07, -0.30
56.80, 83.59, 0.26
56.90, 401.89, -0.45
57.00, 58.07, -1.98
57.10, 321.12, -0.40
57.20, 61.13, 2.22
57.30, 425.29, -0.18
57.40, 23.51, -0.61
57.50, 463.02, -0.31
57.60, 70.49, -2.29
57.70, 441.87, -0.15
57.80, 74.67, -0.89
57.90, 466.15, -0.36
58.00, 39.66, -1.17
58.10, 503.75, -0.54
58.20, 191.54, 2.70
58.30, 619.33, -0.17
58.40, 174.09, 2.94
58.50, 726.99, 0.06
58.60, 57.98, -1.33
58.70, 747.54, -0.03
58.80, 142.86, -0.40
58.90, 820.54, -0.33
59.00, 164.45, 2.28
59.10, 1140.00, -0.06
59.20, 64.67, 0.33
59.30, 1316.08, -0.11
59.40, 410.36, 1.11
59.50, 2487.68, -0.14
59.60, 436.02, -0.62
59.70, 3606.06, -0.31
59.80, 472.20, -2.17
59.90, 9757.29, -0.20
60.00, 15793.37, -1.77
60.10, 10316.79, 2.95
60.20, 429.94, 1.92
60.30, 3132.25, 2.81
60.40, 451.29, 0.10
60.50, 1549.12, 3.07
60.60, 482.73, -1.54
60.70, 1602.51, 3.06
60.80, 84.19, -1.96
60.90, 1163.28, 3.03
61.00, 123.17, -2.18
61.10, 1055.32, 2.91
61.20, 147.10, 0.08
61.30, 812.14, -3.12
61.40, 5.44, -3.11
61.50, 715.88, -3.06
61.60, 174.83, 2.98
61.70, 608.22, 2.98
61.80, 152.69, 3.06
61.90, 590.37, 2.72
62.00, 61.71, 0.20
62.10, 505.02, 2.96
62.20, 49.76, 0.77
62.30, 441.98, 3.09
62.40, 85.22, 2.22
62.50, 329.17, 2.89
62.60, 37.00, -2.24
62.70, 346.54, 2.94
62.80, 68.18, -2.36
62.90, 405.80, 2.84
63.00, 53.93, 1.70
63.10, 291.94, 2.65
63.20, 88.01, -0.66
63.30, 349.37, 2.93
63.40, 97.58, 0.45
63.50, 251.44, -3.07
63.60, 28.85, 2.36
63.70, 197.04, 2.77
63.80, 101.77, -1.07
63.90, 280.97, 3.04
64.00, 63.87, -0.67
64.10, 292.77, -3.09
64.20, 28.16, 1.31
64.30, 209.24, -3.06
64.40, 67.37, -2.33
64.50, 300.92, 2.95
64.60, 61.28, 1.39
64.70, 212.02, 2.99
64.80, 49.27, 1.49
64.90, 174.48, 2.84
175.00, 38.51, -2.71
175.10, 115.26, -1.93
175.20, 71.60, 2.77
175.30, 67.49, -1.40
175.40, 71.49, -2.74
175.50, 56.87, -2.90
175.60, 64.07, 1.51
175.70, 72.96, -0.84
175.80, 11.86, -1.61
175.90, 62.52, -1.03
176.00, 44.47, -1.19
176.10, 62.22, -1.49
176.20, 77.26, -0.75
176.30, 154.72, -1.83
176.40, 35.81, 3.05
176.50, 94.90, -1.34
176.60, 67.58, -1.95
176.70, 60.96, -1.89
176.80, 110.91, -1.10
176.90, 210.70, -2.33
177.00, 74.37, 2.13
177.10, 72.67, -1.88
177.20, 54.95, 0.19
177.30, 158.55, -1.70
177.40, 34.15, -0.94
177.50, 215.79, -2.01
177.60, 87.92, 2.10
177.70, 164.45, -1.40
177.80, 76.53, -2.46
177.90, 138.89, -2.14
178.00, 20.90, -2.06
178.10, 220.69, -2.50
178.20, 201.05, 1.37
178.30, 214.58, -1.44
178.40, 137.77, 1.57
178.50, 272.12, -1.09
178.60, 43.59, 2.92
178.70, 246.76, -1.15
178.80, 115.30, -2.08
178.90, 170.95, -2.13
179.00, 192.82, 0.73
179.10, 397.44, -1.15
179.20, 135.43, -0.75
179.30, 423.63, -1.40
179.40, 401.57, -0.43
179.50, 1148.76, -1.57
179.60, 444.06, -2.13
179.70, 1403.76, -2.00
179.80, 490.66, 2.48
179.90, 3042.35, -1.67
180.00, 5240.05, 3.01
180.10, 3603.84, 1.44
180.20, 407.29, 0.19
180.30, 926.98, 1.04
180.40, 428.06, -1.48
180.50, 307.76, 2.10
180.60, 467.90, -3.06
180.70, 699.95, 1.64
180.80, 27.44, -2.74
180.90, 409.41, 1.66
181.00, 96.08, 2.63
181.10, 422.18, 1.34
181.20, 169.81, -1.54
181.30, 356.43, 2.02
181.40, 27.28, 0.10
181.50, 300.33, 2.16
181.60, 178.98, 1.48
181.70, 211.23, 1.48
181.80, 130.23, 1.57
181.90, 247.61, 1.03
182.00, 43.94, -0.80
182.10, 178.74, 1.45
182.20, 46.48, -0.37
182.30, 139.69, 1.77
182.40, 71.46, 0.92
182.50, 97.39, 1.13
182.60, 8.57, 0.79
182.70, 65.71, 1.49
182.80, 83.88, 2.59
182.90, 182.66, 1.34
183.00, 77.11, 0.61
183.10, 117.90, 0.37
183.20, 80.16, -2.18
183.30, 116.31, 1.34
183.40, 55.10, -1.66
183.50, 107.77, 1.73
183.60, 41.87, -0.06
183.70, 17.67, -0.11
183.80, 103.87, -2.89
183.90, 122.60, 1.55
184.00, 46.05, -2.57
184.10, 132.40, 1.67
184.20, 15.63, -0.99
184.30, 93.82, 1.96
184.40, 61.44, 2.03
184.50, 147.90, 1.14
184.60, 51.65, -0.89
184.70, 102.03, 1.66
184.80, 56.01, 0.18
184.90, 62.71, 1.01
295.00, 94.21, 0.55
295.10, 121.14, 0.60
295.20, 87.20, -0.99
295.30, 65.21, 2.07
295.40, 60.13, 0.56
295.50, 53.57, -0.04
295.60, 69.34, -2.21
295.70, 73.45, 2.17
295.80, 41.85, 2.51
295.90, 72.47, 1.59
296.00, 49.54, 2.57
296.10, 82.43, 1.36
296.20, 86.09, 2.90
296.30, 182.79, 1.36
296.40, 35.95, -0.81
296.50, 105.90, 1.88
296.60, 60.60, 1.86
296.70, 104.41, 1.34
296.80, 113.10, 2.29
296.90, 255.58, 0.95
297.00, 85.33, -1.10
297.10, 110.94, 1.17
297.20, 111.30, -2.52
297.30, 263.25, 1.64
297.40, 50.16, 0.74
297.50, 261.76, 1.13
297.60, 147.34, -0.89
297.70, 192.67, 1.73
297.80, 115.87, -0.01
