Data(71206.562500,-52578.132812,-36552.281250,694.500854,2249.493896,-637.377258,-686.585693,-474.383575,554.741577);
Data(70977.601562,-54202.035156,-31301.732422,-979.762695,3861.220947,-207.660645,-537.292969,-950.833191,64.644073);
Data(71206.562500,-53023.914062,-34948.785156,1165.953857,4087.686035,-451.306671,-722.713074,117.842628,-206.336197);
Data(70977.601562,-46949.230469,-39861.949219,-575.073975,6353.116211,-388.587189,-543.532288,-1469.413330,409.618469);
Data(70748.640625,-46331.437500,-41373.304688,-1498.156006,3868.848389,-290.147095,-966.150024,12.754058,80.286949);
Data(70977.601562,-49405.515625,-31927.177734,437.922302,3070.085938,-468.892700,-303.525269,-360.043732,832.318481);
Data(71206.562500,-46717.160156,-41586.503906,311.886688,3252.065186,-298.357330,-1032.391113,-427.218781,-169.217224);
Data(70977.601562,-48137.902344,-35735.132812,332.947144,4276.508789,-392.653931,-545.713684,-992.658264,-146.442932);
Data(70748.640625,-55849.804688,-29005.494141,3128.709473,2379.832764,-394.439575,-350.944702,-747.756714,396.922821);
Data(70977.601562,-44799.980469,-37747.957031,-488.843719,5075.721680,-103.275124,-668.203979,-713.792053,-288.625580);
Data(70977.601562,-52170.464844,-36254.644531,-801.575500,3759.624268,-497.170532,-655.704590,-1361.288452,-104.653427);
Data(70977.601562,-49715.128906,-38776.031250,-1892.915405,4464.084473,120.583694,-381.226715,-657.241150,-0.863081);
Data(70748.640625,-50441.437500,-33961.109375,1598.902222,5052.131348,-439.400513,-181.777908,-330.336487,589.755249);
Data(70748.640625,-52819.628906,-34587.261719,60.707325,3516.166504,-717.998901,-534.353210,-1100.255981,-1040.754272);
Data(69374.882812,-50499.589844,-31476.218750,527.489502,4184.417480,-475.479523,-518.315430,-866.832642,562.693909);
Data(69145.921875,-50190.210938,-39812.234375,1443.893066,2621.207031,-20.094873,-331.895111,-1148.183594,-498.652496);
Data(65253.601562,-49714.390625,-29248.835938,1677.120361,4419.290039,-325.146912,-631.092773,-49.361145,175.191681);
Data(64337.761719,-49539.269531,-30573.193359,-963.151855,4217.569336,-229.320602,-650.256836,-705.444702,-601.376343);
Data(72580.320312,-54213.703125,-28820.953125,377.269073,5307.044922,-214.620804,-987.237610,-725.355408,381.358246);
Data(71893.445312,-46505.792969,-32994.996094,-2540.854004,5376.032227,72.347694,-1227.812256,-1227.276001,-664.443176);
Data(75785.765625,-54522.316406,-38587.535156,-1824.947388,5230.695312,-265.441284,-1211.971558,309.795715,-494.895081);
Data(76472.640625,-55984.171875,-33572.343750,1308.574585,6367.328125,-715.084595,-1133.124878,-754.240295,-300.966644);
Data(76701.601562,-54964.746094,-35526.339844,-1366.517578,5895.827637,462.444366,-927.287231,-209.690125,55.952660);
Data(76701.601562,-56755.960938,-32695.169922,1591.857422,6735.302246,-912.207397,-951.005920,-1344.874634,-553.494507);
Data(77159.523438,-62301.171875,-32055.591797,1249.660889,5212.534180,339.437775,-481.006042,-680.713806,-317.830231);
