54229
88, 88
6778
1, 64605
1, 77621
1, 94855
1, 109127
1, 115091
1, 126899
1, 134566
1, 141627
1, 146464
1, 150742
1, 151760
1, 149418
1, 125848
1, 118679
1, 107945
1, 96707
1, 81789
1, 68873
1, 51379
1, 35011
1, 17909
1, -1788
1, -2700
1, -1383
1, -1156
1, -1755
1, -11538
0, -30401
0, -48976
0, -63255
0, -78168
0, -91384
0, -103397
0, -112936
0, -120588
0, -128548
0, -136123
0, -139680
0, -142280
0, -141054
0, -130591
0, -113369
0, -102076
0, -91885
0, -78542
0, -63939
0, -46071
0, -32306
0, -17026
0, 8036
0, 13765
0, 12156
0, 11409
0, 12053
0, 17537
0, 31136
1, 50483
1, 68691
1, 81248
1, 99096
1, 110403
1, 118202
1, 129000
1, 136222
1, 142973
1, 148326
1, 152278
1, 152419
1, 146805
1, 124444
1, 114728
1, 105470
1, 92094
1, 77813
1, 60634
1, 46584
1, 29474
1, 7638
1, -4089
1, -3469
1, -2332
1, -2417
1, -3190
1, -17565
0, -35717
0, -54730
0, -67420
0, -87315
0, -96338
0, -108434
0, -118810
0, -126606
0, -132602
0, -139882
0, -143748
0, -145041
0, -143756
0, -124636
0, -114600
0, -103584
0, -91391
0, -79012
0, -62436
0, -46611
0, -29297
0, -16570
0, 8687
0, 8993
0, 7324
0, 7435
0, 7729
0, 15956
0, 30556
1, 51327
1, 65500
1, 81688
1, 95936
1, 108189
1, 114621
1, 124858
1, 131807
1, 139661
1, 142780
1, 146457
1, 145333
1, 136236
1, 116895
1, 106549
1, 95662
1, 82749
1, 66963
1, 51461
1, 33398
1, 21615
1, -5273
1, -10478
1, -9063
1, -8545
1, -8824
1, -15767
1, -27304
0, -49178
0, -64740
0, -80018
0, -95784
0, -109721
0, -115173
0, -127035
0, -134054
0, -142072
0, -146387
0, -150307
0, -149560
0, -145285
0, -124910
0, -115239
0, -105338
0, -94565
0, -80099
0, -64581
0, -47222
0, -31594
0, -8198
0, 4950
0, 4061
0, 2763
0, 2864
0, 3536
0, 14404
0, 32780
1, 51349
1, 64706
1, 81331
1, 94354
1, 105031
1, 116356
1, 123697
1, 66246
1, 137754
1, 141792
1, 143384
1, 141787
1, 125078
1, 113558
1, 101230
1, 90239
1, 76330
1, 61509
1, 44055
1, 27684
1, 8788
1, -11254
1, -12423
1, -11232
1, -11133
1, -11927
1, -20050
0, -35478
0, -54986
0, -71332
0, -86059
0, -101442
0, -112882
0, -122622
0, -130505
0, -138719
0, -146089
0, -150145
0, -153023
0, -151670
0, -141206
0, -123506
0, -114031
0, -103207
0, -91244
0, -77357
0, -59669
0, -44325
0, -28269
0, -4501
0, 4823
0, 3480
0, 2492
0, 2627
0, 7980
0, 17347
1, 38341
1, 55432
1, 66778
1, 85406
1, 97345
1, 106695
1, 116753
1, 125437
1, 132274
1, 137310
1, 141093
1, 140813
1, 138271
1, 114510
1, 106966
1, 96893
1, 84547
1, 71942
1, 54215
1, 38866
1, 20664
1, 4435
1, -14881
1, -14363
1, -13495
1, -13721
1, -14321
1, -24074
0, -41863
0, -59078
0, -74632
0, -89376
0, -103093
0, -115903
0, -124865
0, -134539
0, -141779
0, -149222
